msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C4154,"Salisbury, MD-DE MSA",Delaware,-76.236458,37.886605,-74.984165,39.002697,-75.6103115,38.444651,72280
C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",District of Columbia,-78.394704,37.990688,-76.321908,39.720045,-77.358306,38.8553665,111997
C2354,"Gainesville, FL MSA",Florida,-82.973054,29.417057,-82.049052,29.945254,-82.511053,29.6811555,42743
C2726,"Jacksonville, FL MSA",Florida,-82.459793,29.622432,-81.150817,30.829924,-81.805305,30.226177999999997,78199
C3746,"Panama City, FL MSA",Florida,-86.00077,29.497065,-85.017939,30.567682,-85.5093545,30.0323735,69335
C3734,"Palm Bay-Melbourne-Titusville, FL MSA",Florida,-80.98725,27.822058,-80.385069,28.791396,-80.6861595,28.306727,62776
C3310,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",Florida,-80.886053,25.13742,-79.974306,26.970943,-80.43017950000001,26.0541815,118743
C3946,"Punta Gorda, FL MSA",Florida,-82.565858,26.769564,-81.562531,27.03525,-82.06419450000001,26.902407,46412
C2614,"Homosassa Springs, FL MSA",Florida,-83.187906,28.665671,-82.169141,29.052565,-82.6785235,28.859118000000002,47126
C3494,"Naples-Immokalee-Marco Island, FL MSA",Florida,-82.244953,25.800785,-80.872554,26.517069,-81.5587535,26.158927,63485
C2938,"Lake City, FL MicroSA",Florida,-82.800477,29.825587,-82.452518,30.597734,-82.6264975,30.2116605,50005
C1158,"Arcadia, FL MicroSA",Florida,-82.057631,27.0317,-81.562306,27.340702,-81.8099685,27.186201,22913
C3786,"Pensacola-Ferry Pass-Brent, FL MSA",Florida,-87.634896,30.12553,-86.785692,30.999547,-87.210294,30.562538500000002,56603
C1966,"Deltona-Daytona Beach-Ormond Beach, FL MSA",Florida,-81.680903,28.612662,-80.663461,29.671087,-81.17218199999999,29.1418745,68545
C4522,"Tallahassee, FL MSA",Florida,-84.932519,29.74293,-83.604121,30.711542,-84.26832,30.227236,62729
C4810,"Wauchula, FL MicroSA",Florida,-82.055753,27.336709,-81.56346,27.646645,-81.8096065,27.491677,22772
C1750,"Clewiston, FL MicroSA",Florida,-81.56657,26.253069,-80.87971,26.958919,-81.22314,26.605994000000003,45712
C4530,"Tampa-St. Petersburg-Clearwater, FL MSA",Florida,-83.02236,27.53075,-82.054012,28.694908,-82.538186,28.112829,75393
